cache request times
138
7
6
6
8
7
9
5
5
5
6
5
6
6
5
6
5
5
5
6
5
7
6
5
6
5
5
6
6
5
5
no cache request times
118
116
100
95
91
91
87
89
86
94
135
94
87
88
83
79
80
118
82
86
87
176
100
86
84
85
83
88
85
88
83
